Galaxy,SD_mol (SL24) [Msun/pc2],e_SD_mol (SL24) [Msun/pc2],W_CO21 [K.km/s],e_W_CO21 [K.km/s],W_CO10 [K.km/s],e_W_CO10 [K.km/s],W_HCN [K.km/s],e_W_HCN [K.km/s],W_HCOP [K.km/s],e_W_HCOP [K.km/s],SD_mol_MW [Msun/pc2],e_SD_mol_MW [Msun/pc2],SD_mol_SL24 [Msun/pc2],e_SD_mol_SL24 [Msun/pc2],SD_dense [Msun/pc2],e_SD_dense [Msun/pc2],SD_SFR [Msun/yr/kpc2],e_SD_SFR [Msun/yr/kpc2],SD_SFR [Msun/yr/kpc2] (no inclination correction),e_SD_SFR [Msun/yr/kpc2] (no inclination correction),Survey
ngc0628,5.8922798816097846,4.81509649462353,1.0857468918159916,0.023528336285409745,1.8607474311231607,0.04034534124908631,0.007600271489233515,0.016053427571515795,-0.010577170851320261,0.01742771349788148,7.996795452931804,0.17338916397317364,7.161631378616957,0.15528086028100022,0.11263144800471088,0.23790213223040033,0.00512108966765553,0.00029320620169770087,0.005183499699825764,0.0002967794663089497,ALMOND
ngc0628,7.189512426383581,3.4963575665508286,1.4497310246738113,0.024329319175809484,2.495774311187367,0.042546598866502264,0.01210627328392173,0.008058908475959204,0.023454213389734777,0.008840308192787614,10.725903112600419,0.18284934465715724,9.29659594153518,0.158483295775359,0.1794076819282628,0.11942817204234671,0.005770021663216214,0.000174190440117901,0.005840340142484148,0.00017631327562304112,ALMOND
ngc0628,8.992432155486677,2.9220458040536763,1.7931522981196295,0.013308333407770325,3.0981800937208934,0.02321658182285863,0.024796045188993858,0.006870571083567046,0.02873686939820848,0.005999133631911642,13.31481751442021,0.0997761721168092,10.523594990454354,0.07885981343101321,0.36746246214795114,0.10181772728219918,0.006036077145630267,0.00011650833043222331,0.006109638007339072,0.00011792820181160966,ALMOND
ngc0628,10.91719365085058,2.331349634258736,2.21394691485991,0.013124681113651015,3.7795708333128433,0.022766695161869428,0.034850070600369196,0.0051740171695613315,0.01797545940534788,0.0048896749353425665,16.243179675183598,0.09784272776817907,12.73154071202571,0.07668995214399979,0.5164570660859173,0.07667581962492492,0.006907050594544697,7.656097245481397e-05,0.006991225892729685,7.749401074626743e-05,ALMOND
ngc0628,13.490721440568642,2.745021922015107,2.744006091536331,0.009989806459673475,4.655423534676065,0.017146476966647693,0.04206832855252334,0.005256110274519372,0.03570994766519529,0.004377624292306596,20.007266505319254,0.07368913520838422,14.829968668229014,0.05462053329667442,0.6234273034484028,0.07789239001924898,0.008009639273685969,7.292272850644235e-05,0.008107251672058903,7.381142800740457e-05,ALMOND
ngc0628,16.827525248147467,3.974268194227208,3.26972149580595,0.011148105866057748,5.495997737313769,0.018616515479798305,0.05318314939245283,0.0053273440983494565,0.035436170440637696,0.00883273024968347,23.619739562690388,0.08000681008514149,18.407636776744038,0.06235192796281092,0.788142257024416,0.07894803240469014,0.009552558109138708,8.464133973911765e-05,0.009668973852191358,8.567285238171278e-05,ALMOND
ngc0628,21.18803932115576,7.075575018867654,3.6811208818845547,0.011716385749958537,6.141049720569571,0.019412240130438067,0.05330807731386105,0.009325910987374363,0.06228138494811396,0.006692943903433244,26.3919313606342,0.08342653656794571,22.063004562530615,0.06974252970664299,0.7899936136113958,0.1382043865089547,0.010803253341774894,0.00011970093059648897,0.010934911139696643,0.00012115970976540632,ALMOND
ngc0628,26.616685989487248,9.5790505502516,4.323055414614857,0.013979471143494793,7.160726617602673,0.022981521444627007,0.08903413217980884,0.013224847481937143,0.10939884779300854,0.010424399780596904,30.774120709530425,0.09876597066100364,27.374218163418462,0.08785437782333816,1.3194322391588698,0.19598427814612895,0.014633899843094047,0.00012899353075601058,0.014812241215585888,0.00013056555759535318,ALMOND
ngc0628,32.395713024095386,26.503493145538364,4.995992609377329,0.03425608695826908,8.525806061406007,0.05858119424569146,0.018343127709764907,0.02901569972467309,0.15641764791022672,0.02013412731258206,36.640720822210966,0.2517600292955897,32.580712377625886,0.2238635299360718,0.27183410984895146,0.4299952020778939,0.009901472305137894,0.0002932062016977009,0.010022140218648425,0.00029677946630894973,ALMOND
ngc1097,6.056157673418975,1.2825680158858297,1.063996307467581,0.029742448114521855,1.9950391620982115,0.06408544916471004,0.004513268512013726,0.008853260792453622,0.02605554681369742,0.005786542221950389,5.73914235311193,0.1843550354834003,5.242419298237232,0.16839909803271233,0.04477017027579449,0.08782149613281384,0.003124131622662047,4.411251994343919e-05,0.004724142702525184,6.6704564452129e-05,ALMOND
ngc1097,8.212910487234332,1.8453981756322368,1.3677574533671477,0.030579518624245662,2.5253203446258885,0.06759090409993176,0.021602244109111268,0.007559601713627011,0.0013632105571019792,0.009102834164518018,7.264605738252763,0.19443920088118502,6.70710968907394,0.17951766347056433,0.21428730520459863,0.07498881465513829,0.0035824069775519897,4.6788392980849014e-05,0.005417121883634627,7.075087479029333e-05,ALMOND
