Galaxy,SD_star [Msun/pc2],e_SD_star [Msun/pc2],W_CO21 [K.km/s],e_W_CO21 [K.km/s],W_CO10 [K.km/s],e_W_CO10 [K.km/s],W_HCN [K.km/s],e_W_HCN [K.km/s],W_HCOP [K.km/s],e_W_HCOP [K.km/s],SD_mol_MW [Msun/pc2],e_SD_mol_MW [Msun/pc2],SD_mol_SL24 [Msun/pc2],e_SD_mol_SL24 [Msun/pc2],SD_dense [Msun/pc2],e_SD_dense [Msun/pc2],SD_SFR [Msun/yr/kpc2],e_SD_SFR [Msun/yr/kpc2],SD_SFR [Msun/yr/kpc2] (no inclination correction),e_SD_SFR [Msun/yr/kpc2] (no inclination correction),Survey
ngc0628,36.760088251532444,32.95401619500407,2.1678255554288626,0.14163170612614506,3.836950418896525,0.2516301590606076,0.032013751988415606,0.020024000393157958,-0.02579424990108237,0.024947413495348132,16.489775640553134,1.0814121670353583,15.713897799956696,1.030529501604141,0.47442453175874394,0.296743631108858,0.005183625529308239,0.00032119130134048053,0.005246797677627734,0.00032510561660351235,ALMOND
ngc0628,54.163790601618764,22.215042661815733,1.606612120722275,0.03585711410609592,2.7852430137424076,0.06260147357598835,0.058925175041319264,0.012249820911980824,0.02377846548370144,0.007906504757407583,11.969931165865537,0.2690376839252824,11.320573789265787,0.2544426455562742,0.8732356203638931,0.18153497135849447,0.005877874833458203,0.00014660310084885044,0.005949507704830414,0.00014838973315447484,ALMOND
ngc0628,75.16651275653324,14.800721177754985,2.3234503943667035,0.009484561467665895,3.9514015514085936,0.016195666579576926,0.02937975373959909,0.0074019221722089485,0.046516403013951144,0.005902508041504861,16.981643736538064,0.06960290832302,15.374721887415149,0.06301659454315257,0.4353902634136803,0.10969203053536526,0.007742088703410772,7.042585164308226e-05,0.007836440498907818,7.128412204096675e-05,ALMOND
ngc0628,105.96762024367432,22.86177841260706,2.9421710808897816,0.008239417072560352,4.95656875892211,0.013713428168932071,0.035735821002947046,0.006653518214534666,0.04909166555488151,0.005377005078546054,21.301475874975242,0.05893517744062085,18.262805238213062,0.0505280325924289,0.5295833538184572,0.09860113443188781,0.009392819892443994,7.699972087454684e-05,0.009507288927297861,7.793810613408077e-05,ALMOND
ngc0628,150.35663497328568,32.98364172518759,2.808187545560724,0.01145951374287753,4.7097831996367265,0.01919350141230819,0.03772574190371697,0.005714245734521879,0.028572444349655206,0.007082704123848294,20.240883983064705,0.08248647949342632,15.429795492557657,0.06288013461020342,0.5590727836087026,0.08468168173277309,0.009714650705383973,7.83626536021523e-05,0.009833041849142868,7.931764873983639e-05,ALMOND
ngc0628,219.49944453372777,59.999318241684634,3.0146774603896054,0.011400196540854897,5.120985223913184,0.019431138177749625,0.05068795879601061,0.0051306757108669125,0.03183674613612513,0.004646447966121301,22.008076253745678,0.08350775329638646,14.199758699341348,0.05387976362227474,0.7511650345234645,0.0760335252992151,0.007972349398716822,9.773540056590026e-05,0.008069507350390423,9.892648876964987e-05,ALMOND
ngc0628,305.881569327975,137.31372211072534,3.074486581630481,0.013062275293961102,5.1899963938747105,0.022028875297922502,0.0676704810573483,0.004144163444551975,0.06375471849696623,0.006188575193352645,22.304660411766914,0.09467185436837965,12.516336230450875,0.05312543383129908,1.0028357907295171,0.061414007406089675,0.00731241316303045,0.00016059565067024024,0.00740152856040948,0.00016255280830175615,ALMOND
ngc0628,453.68705428613765,263.2614813276178,3.8019885290123057,0.026537615026570496,6.330564295574188,0.0442459135804041,0.10219042399512546,0.005962742714624558,0.0644681659953979,0.008166621091245932,27.206394014894833,0.1901523627615691,13.675683212878972,0.09558280578763849,1.5144005635971165,0.08836425737936822,0.009395515715297814,0.00020732809350639488,0.009510017603782832,0.00020985477314398282,ALMOND
ngc0628,598.3294869007292,489.46990501595104,4.80547041297541,0.03532518030400043,7.906629951802176,0.058132986283179006,0.12384297489916207,0.010898647536291401,0.0801805525528228,0.010581432882782028,33.979733836537584,0.24983379936419917,16.089811117730946,0.1182992975145875,1.8352783328678697,0.161511395355335,0.011616843894272725,0.0002932062016977008,0.01175841681101684,0.0002967794663089496,ALMOND
ngc0628,895.4442653965002,637.8838214990313,5.496793825805071,0.026257909156079815,8.915297451028994,0.04256880209733445,0.16293553928335314,0.0094108326292109,0.09050302789091802,0.007941663302941982,38.3146089176056,0.1829447658263011,16.901001477878474,0.0806989773600349,2.414606602791669,0.1394628741170008,0.014620985018532885,0.00025392401921735285,0.014799168999791874,0.00025701855714513826,ALMOND
ngc1097,35.83773030444943,5.29082605147153,0.6239738388806344,0.022734316532109576,1.213948515656575,0.045938517846127014,-0.006035586104896736,0.007895856294784077,0.009275724591603765,0.0071537988308757695,3.4921737242364164,0.13215163813256364,3.5697935858674748,0.13508894671918334,-0.059871070580261615,0.07832435181946734,0.0024344223326058525,3.068503693165334e-05,0.0036812016542519237,4.6400251591789926e-05,ALMOND
ngc1097,57.011892054787126,11.473447060730006,1.612428847318648,0.009863993611171719,2.9394272954831084,0.018134055287826155,0.02381887125390847,0.0074793939018511025,0.017906297219485622,0.008667975053589688,8.455869942752482,0.05216635678799428,7.832905966276175,0.048323137665308435,0.2362755326823918,0.07419317899085248,0.004513585727596076,4.1848810905260966e-05,0.0068251999763940235,6.328150619946882e-05,ALMOND
ngc1097,88.22265399817728,22.42963760821608,1.810723653995597,0.008791617905173722,3.240000074455181,0.015883012368942157,0.01149922618239204,0.01015720089404373,0.024793760314012266,0.01129564332917033,9.32052964405726,0.0456907667344874,7.66473282071699,0.037573778826704436,0.11406862074684383,0.10075616204560683,0.004874755793284527,5.2724545866232524e-05,0.007371341796353191,7.972720380637457e-05,ALMOND
ngc1097,137.43325891397424,40.76437100726801,2.365121304435137,0.009247892218604123,4.09701807474619,0.016110385506081414,-0.00537038462984247,0.014086034582015575,0.0534117021311431,0.013695851993732619,11.78591899394677,0.04634485254197773,8.703124170482639,0.03422261823984176,-0.05327248615599889,0.1397289270666928,0.0054136185108741505,6.170270542628068e-05,0.008186180824420379,9.330349062477933e-05,ALMOND
