Galaxy,SD_star [Msun/pc2],e_SD_star [Msun/pc2],W_CO21 [K.km/s],e_W_CO21 [K.km/s],W_CO10 [K.km/s],e_W_CO10 [K.km/s],W_HCN [K.km/s],e_W_HCN [K.km/s],W_HCOP [K.km/s],e_W_HCOP [K.km/s],SD_mol_MW [Msun/pc2],e_SD_mol_MW [Msun/pc2],SD_mol_SL24 [Msun/pc2],e_SD_mol_SL24 [Msun/pc2],SD_dense [Msun/pc2],e_SD_dense [Msun/pc2],SD_SFR [Msun/yr/kpc2],e_SD_SFR [Msun/yr/kpc2],SD_SFR [Msun/yr/kpc2] (no inclination correction),e_SD_SFR [Msun/yr/kpc2] (no inclination correction),Survey
ngc0628,37.82842840908915,31.003503298468587,2.2008638006324563,0.14193068007959547,3.879248199658086,0.2510285717037412,0.036466196143010166,0.021503331937106962,-0.03257700052927248,0.02779225935667535,16.67155565819851,1.0788267699204868,15.859371001512777,1.026269793972033,0.540407073698528,0.3186664340126822,0.005448666411935181,0.0002932062016977009,0.005515068577904171,0.00029677946630894973,ALMOND
ngc0628,54.64177588008597,22.87493891111642,1.640917168817554,0.03299586080316009,2.8467566520544647,0.05771078855742274,0.05871974675044286,0.014066151824808672,0.025896671618481734,0.008512324834364213,12.234293741312023,0.24801935168737077,11.572079767674838,0.2345946388357241,0.8701912967637007,0.20845190203094735,0.005838918485996825,0.00014975621643248087,0.005910076601593199,0.00015158127533435368,ALMOND
ngc0628,75.4270059521534,14.714249544769183,2.311841870956963,0.009556122955548663,3.9319056751141774,0.016310767656341155,0.028449333606118364,0.00728074249244234,0.04545880934769367,0.005793286825682848,16.8978577630661,0.07009756963594208,15.292906753118686,0.06343973366883124,0.42160199716093905,0.10789622063302233,0.007719033361003273,6.97582929596267e-05,0.007813104184138043,7.060842790946911e-05,ALMOND
ngc0628,106.88087471806485,23.06080377025455,2.959029080421955,0.007940734093232883,4.982412338637172,0.01319650486795959,0.03875739717193352,0.006412232018307407,0.04998539286594447,0.005458493819179065,21.412541900001617,0.05671363472418883,18.323014153934903,0.0485306572487,0.5743612936133152,0.09502541826133748,0.009537680820819272,7.699972087454684e-05,0.009653915256356749,7.793810613408077e-05,ALMOND
ngc0628,151.67186754685983,33.279146949012734,2.8178512945684515,0.01177389137734057,4.72880467446633,0.019750958349750887,0.03475101097427298,0.0055270533090747195,0.02818226633475466,0.007240037122468461,20.322631156744055,0.08488222059615956,15.433324322161791,0.0644608874481828,0.5149890620623995,0.08190760268000577,0.009597078188593748,7.83626536021523e-05,0.009714036491877,7.931764873983639e-05,ALMOND
ngc0628,221.66856878831163,61.150958538993805,3.006815244112178,0.010626285771428871,5.108832233888689,0.018132889507246484,0.05355244372384611,0.00503714413429995,0.03258231302871142,0.0049018202489786375,21.955847254934838,0.07792836681361823,14.105657568165661,0.05006551759792546,0.7936149766955065,0.07464744364176067,0.007931741077254372,9.865312399149966e-05,0.008028404140766797,9.985539636741419e-05,ALMOND
ngc0628,308.12048767890946,141.8577476181491,3.11517772352856,0.01333026752430363,5.2536521745943805,0.022455277731705088,0.06641366854469916,0.0042839931956534984,0.06301781805010058,0.006802497232645887,22.578229112869256,0.09650437230528923,12.627122346155033,0.05397112899980338,0.9842105859101051,0.0634862001380221,0.007400301748786234,0.00016476766102669618,0.007490488232559056,0.00016677566238824975,ALMOND
ngc0628,460.34262092862144,256.82928227932234,3.866448513670968,0.026346252076831063,6.433978149105908,0.04388316217966453,0.10242996838944517,0.00600914341737885,0.06614275319197285,0.008114920866208651,27.650828020209268,0.188593393122026,13.851755262506796,0.09447635795003095,1.5179504673119852,0.08905188786033925,0.00947648465446543,0.0001991943890706449,0.009591973300540372,0.0002016219443443881,ALMOND
ngc0628,641.0180265776773,526.8943935720945,4.902382742293412,0.031638101641759946,8.045922895725582,0.0518663855074389,0.1331817509708344,0.011286582353260148,0.07908787476480938,0.0089225964794191,34.57836273262576,0.22290229659784633,16.247000609474348,0.1047329446070461,1.9736733721811663,0.16726035580083076,0.012086115708656912,0.00029320620169770076,0.01223340757799373,0.00029677946630894957,ALMOND
ngc1097,35.83773030444943,5.29082605147153,0.5759899457032467,0.02161341308340848,1.1196914216770248,0.04368161139689742,-0.007222047495976078,0.004632047462054041,0.010175644953119688,0.0037852307831716513,3.221023718554143,0.12565918042252927,3.2926167820977383,0.12845218242279535,-0.07164038551529923,0.04594841921097968,0.0024344223326058525,3.068503693165334e-05,0.0036812016542519237,4.6400251591789926e-05,ALMOND
