Galaxy,P_DE (SL24) [kB.K/cm3],e_P_DE (SL24) [kB.K/cm3],W_CO21 [K.km/s],e_W_CO21 [K.km/s],W_CO10 [K.km/s],e_W_CO10 [K.km/s],W_HCN [K.km/s],e_W_HCN [K.km/s],W_HCOP [K.km/s],e_W_HCOP [K.km/s],SD_mol_MW [Msun/pc2],e_SD_mol_MW [Msun/pc2],SD_mol_SL24 [Msun/pc2],e_SD_mol_SL24 [Msun/pc2],SD_dense [Msun/pc2],e_SD_dense [Msun/pc2],SD_SFR [Msun/yr/kpc2],e_SD_SFR [Msun/yr/kpc2],SD_SFR [Msun/yr/kpc2] (no inclination correction),e_SD_SFR [Msun/yr/kpc2] (no inclination correction),Survey
ngc0628,17327.757952792876,24505.538809435886,,,,,,,,,,,,,,,0.00612571927813365,0.0005078480384347058,0.00620037259647501,0.0005140371142902766,ALMOND
ngc0628,20574.266207495242,16890.67214332987,0.3395572337709988,0.022894511849146367,0.5985958471905479,0.04022176822852552,0.009807550656357002,0.017242897896442188,0.0065267080208286634,0.01268455168016117,2.5725407268561202,0.17285809341926775,2.343174622786312,0.15744617514306397,0.1453419964497142,0.2555293663686646,0.006639096106082254,0.0002932062016977009,0.00672000587889464,0.00029677946630894973,ALMOND
ngc0628,27997.072665046107,15569.71646018634,1.1507951405767995,0.04187152530170186,2.0003564174605164,0.07320732971505664,0.02806709065505577,0.008957706878222305,0.02193286749108945,0.011589697629549478,8.596782580930741,0.314617680828009,7.775975018023311,0.2845784691325951,0.41593738674159264,0.1327478232751506,0.005271973973301993,0.00019919438907064493,0.0053362228122458815,0.00020162194434438811,ALMOND
ngc0628,37074.1605688435,11082.289924901506,1.7128031821016014,0.01996256633300133,2.9764809815959534,0.03513825073003117,0.02165520882651132,0.008763773206039917,0.015867713640545844,0.007033803943976638,12.791800317035646,0.15101103941456537,11.256454183702886,0.1328858178109308,0.32091715808172316,0.12987384300408847,0.005899722510852897,0.00010706376711349352,0.005971621636936027,0.00010836853886783747,ALMOND
ngc0628,47008.163190998275,9383.447571911742,2.1199957185186884,0.01044458524863335,3.623490198231515,0.017949579590647493,0.01963642166204787,0.0048649944759646836,0.01987819671681467,0.004306809728619677,15.572403570897544,0.07714056945701982,12.417340340399548,0.06151142311712105,0.29099994764141907,0.07209628934164332,0.006790481086626929,7.146412658775079e-05,0.006873235767870728,7.233505030297662e-05,ALMOND
ngc0628,62596.730490362024,11814.639428707169,2.8314709001469724,0.008780989846911207,4.799705315362805,0.014929193953223537,0.04029282125101764,0.004803846758131025,0.03862346563838738,0.004666254891546137,20.6273355530783,0.06416008337521277,15.46083803674783,0.04809000439905901,0.5971153541193805,0.07119011697509763,0.00827065220805968,6.756309802623228e-05,0.008371445536017581,6.838648043017057e-05,ALMOND
ngc0628,82046.00526040094,19824.221587077536,3.601770079401277,0.00943622267297753,6.024246795460813,0.015644182333874684,0.06432291125174347,0.004276579905462559,0.0536373630448129,0.00554943886480665,25.889956141012345,0.06723283561211306,19.418047183791266,0.05042613309599235,0.953226821492532,0.06337633964029285,0.010464426685737457,8.646179187011265e-05,0.010591955248696385,8.751549011839584e-05,ALMOND
ngc0628,108925.58291859734,32578.943178495643,4.44674146609355,0.010198081585986153,7.363077153887119,0.01669703451298188,0.09272005605614847,0.00848539292568784,0.09576339155460623,0.007173818092490385,31.64374751722728,0.07175759989643708,25.21906838138193,0.057188543098028725,1.37405541203044,0.12574841483794624,0.013366028395464805,0.00010706376711349352,0.01352891838886168,0.00010836853886783747,ALMOND
ngc0628,136441.18101783993,82513.65484407582,5.102335391473554,0.022576823139265765,8.419331120340054,0.03723619995995582,0.0705214119410481,0.014012988413829624,0.1339780038510567,0.01565371860082418,36.18313140930852,0.16002723934677035,26.785037742028624,0.11846226345553897,1.045084870127185,0.2076640522853268,0.01420646691852259,0.00021654713118814174,0.014379599223354163,0.00021918616200011556,ALMOND
ngc1097,13049.026179119937,2190.4170018685627,0.7237538603652833,0.020078722234505384,1.3833645688058291,0.04335339803468608,0.011556614643303683,0.005911069362044331,0.02600170231358663,0.005735445004780653,3.9795340048753998,0.12471500687260091,3.791147837586731,0.1188111542809845,0.11463789579884681,0.05863590458806538,0.0029430046625555087,3.475354582935823e-05,0.004450252319478914,5.2552430482023096e-05,ALMOND
ngc1097,21403.42765816097,3883.8979987240796,1.2556267968508448,0.02922921192962244,2.3472485872557685,0.06394845170345842,0.007559722804859255,0.007574617671263615,0.02833766565664343,0.0064972779657694445,6.752345536031421,0.1839609339804949,6.57799443587811,0.1792109117765689,0.07499001584116835,0.07513776811945255,0.0035878604459500564,3.758134161050393e-05,0.005425368323301028,5.682847016832412e-05,ALMOND
ngc1097,36862.74155455672,8668.930386861839,1.9514897299489264,0.044770974417137545,3.5325024647101015,0.09807984553881996,0.07297118024737487,0.007270784075391149,0.04290134789371407,0.009356593029849493,10.161973204760582,0.28214694037710714,9.816242862682719,0.27254774578691654,0.7238506098638984,0.07212383668893635,0.004350974667469281,4.864825451973181e-05,0.0065793083348653905,7.356325671840611e-05,ALMOND
ngc1097,60966.91561750547,15927.808806083603,4.180936939750754,0.06173849813072604,7.051757973551927,0.12826002152208033,0.08803861312281926,0.011272548860967681,0.10869174962642228,0.014294120122083056,20.285838803957436,0.36896645224460123,17.501889596608166,0.3183309388605333,0.873314691971384,0.11182005471297816,0.009672965915545161,5.402658256488634e-05,0.014626935373087744,8.169607321115471e-05,ALMOND
ngc1097,96013.97540574666,34268.519324258195,7.918293850134717,0.06703045359245444,13.1395398348945,0.13821357425008735,0.19988872842752414,0.01883085865351434,0.18186587624910544,0.021346558619850246,37.79860115003201,0.39759990321162825,27.77229592890472,0.29213414881327854,1.982831817803683,0.18679605392702395,0.011249146891963574,7.397894493925892e-05,0.017010350912815005,0.00011186695539335738,ALMOND
ngc1097,162516.57464326746,94610.79953832309,15.047676691441058,0.21272148111185346,20.975694620934963,0.3757637215615056,0.7134279451687084,0.02808851345558317,0.6286771956456505,0.0294526930731644,60.340919452599586,1.080961983176565,40.012696412924946,0.7167972258151232,7.076975477903078,0.278629008412203,0.04710565329871078,0.0001208071112070908,0.07123061866681746,0.00018267797319494145,ALMOND
ngc1097,275106.37909062393,276226.47778965905,33.03771142736878,0.11611203888724429,41.11796854084612,0.14060224887036868,2.280023135066358,0.050574495838134684,1.6428942021485682,0.049906018580658074,118.28433206218789,0.4044714192908626,48.54603523089465,0.16600240647646247,22.617095286477205,0.5016827127078017,0.14697915423623525,0.0002092440545263049,0.2222539197361934,0.00031640753099734423,ALMOND
ngc1097,500360.165764431,708487.3233009316,57.706645908911014,0.07657628908364196,69.07315095847757,0.09157167644119152,4.003771500929361,0.08354091695633588,2.9976355027247337,0.09067422987808907,198.7031902229785,0.26342484728790144,78.90252745829245,0.10460268012308202,39.71612399413909,0.8286989943486416,0.12983234801837434,0.0002959157797570356,0.19632544768395052,0.00044746782157342935,ALMOND
ngc1097,866300.9102135189,778799.9007173454,82.53877406880882,0.04789693106484662,93.00197508187033,0.053991020632589044,6.777160112453203,0.04402800840306982,5.183682788099758,0.06002332346472074,267.5393968477632,0.15531632615890376,101.9664056397292,0.05919519779960837,67.22724593345217,0.43674366545279275,0.3092283741629126,0.000187153571923396,0.4675984061038638,0.0002830034991611732,ALMOND
