Galaxy,P_DE (SL24) [kB.K/cm3],e_P_DE (SL24) [kB.K/cm3],W_CO21 [K.km/s],e_W_CO21 [K.km/s],W_CO10 [K.km/s],e_W_CO10 [K.km/s],W_HCN [K.km/s],e_W_HCN [K.km/s],W_HCOP [K.km/s],e_W_HCOP [K.km/s],SD_mol_MW [Msun/pc2],e_SD_mol_MW [Msun/pc2],SD_mol_SL24 [Msun/pc2],e_SD_mol_SL24 [Msun/pc2],SD_dense [Msun/pc2],e_SD_dense [Msun/pc2],SD_SFR [Msun/yr/kpc2],e_SD_SFR [Msun/yr/kpc2],SD_SFR [Msun/yr/kpc2] (no inclination correction),e_SD_SFR [Msun/yr/kpc2] (no inclination correction),Survey
ngc0628,17523.890884212367,17525.12896434067,,,,,,,,,,,,,,,0.006138894395577071,0.00035910279178946703,0.00621370827730569,0.00036347912929621907,ALMOND
ngc0628,22746.790344568537,18602.81277454403,0.6101709899182121,0.040423039148807585,1.0670973994790773,0.07077475152128586,0.014530042086941346,0.01125867091753174,0.011799356046443187,0.01208731368852618,4.585984905452127,0.30416337095581675,4.109407599798913,0.272554597094353,0.21532647644757222,0.16684672512639573,0.006458510555407364,0.0002932062016977009,0.006537219556360924,0.00029677946630894973,ALMOND
ngc0628,30979.122451544168,13255.464116340483,1.3998227796004026,0.03626638214622551,2.436494509420849,0.0636516496529582,0.025791121892821553,0.010871865650900956,0.023224083745596796,0.01137915923838121,10.471140729867448,0.273550947325045,9.519695899318638,0.24869514207531082,0.382208899849109,0.1611145039369041,0.005479217866770311,0.00015312194490962796,0.0055459923592172285,0.00015498802149253488,ALMOND
ngc0628,41884.85228176498,8908.085361559428,1.9003745853086493,0.01161190306151673,3.2705366822042716,0.020081042486367204,0.017804367288925257,0.006057954585282474,0.01306766485903905,0.004919220885744662,14.05554156971812,0.08630079857113222,11.508022645489397,0.07065907345897639,0.26385000475313247,0.08977523998369093,0.006354548540524951,7.612963960024006e-05,0.0064319905703621345,7.705742129610995e-05,ALMOND
ngc0628,56116.03580443873,10290.031584804783,2.5401480878462435,0.008157786122524133,4.316532477236991,0.013878515032155127,0.03663483986027435,0.003913891970127143,0.034035372110073084,0.003784085925041544,18.550839683581156,0.059644658939871954,14.300510526911168,0.04597900082111039,0.5429062720625956,0.05800152278164053,0.007694555968702287,6.556289984205733e-05,0.007788328489143668,6.6361906099292e-05,ALMOND
ngc0628,74396.73848698162,15569.133452905126,3.271877630647949,0.006512180988992719,5.507500168149369,0.01080955901712156,0.05690284440215296,0.0039728158224675465,0.04264992396987627,0.004992802218853138,23.669172701796363,0.04645543556878041,17.77790874243809,0.03489266416435885,0.843265897761712,0.05887473880037314,0.009448256232951965,7.487810821624044e-05,0.009563400863044157,7.579063766717684e-05,ALMOND
ngc0628,102847.0879883204,28105.21310875072,4.208959103384081,0.010460941313633947,6.987169253138747,0.017219103226841222,0.08235819584452082,0.008993355779098842,0.0829608432406059,0.006618810231599358,30.02823616885947,0.07400125567006798,24.190712544022265,0.05961532651284278,1.220498881673428,0.13327611852502277,0.012409384006697798,9.773540056590027e-05,0.012560615503377556,9.892648876964988e-05,ALMOND
ngc0628,133248.22105855113,80656.95548600865,4.791019214396577,0.016526711721448636,7.964466464478283,0.02768247169122951,0.06952427210556132,0.019975789540936897,0.16747332733881526,0.01881412455377707,34.22829350339283,0.11896889392060928,29.64339286825346,0.10303293856121161,1.0303078580568727,0.29602917530252376,0.015501628804022054,0.00021654713118814174,0.015690545072850625,0.00021918616200011556,ALMOND
ngc1097,12946.287723469488,2202.3514104843994,0.7129325548379202,0.02266293808599999,1.361948764618983,0.04892138225446361,0.011002064333501302,0.006752684504389845,0.024872394066075318,0.006278972079428973,3.9179270193235887,0.14073246390516167,3.7345385271593,0.13414512467529807,0.10913693530197849,0.06698445578310251,0.0029324323504131685,3.5243056498215e-05,0.004434265441431344,5.329264201386549e-05,ALMOND
ngc1097,20992.079364083234,3822.0221682229057,1.1550688265756102,0.0361474231341203,2.1572964688761296,0.07748248478590457,0.007330908663015535,0.006146297494544136,0.024480914633467757,0.007251554101593685,6.205909020715413,0.22289437646499938,6.041556107542253,0.21699139916068266,0.07272025323684184,0.060969291914266054,0.0035503271638172495,3.77338020402131e-05,0.005368612526072987,5.705901257607989e-05,ALMOND
ngc1097,36016.48563992512,8310.839611908623,1.9697673129881619,0.042335516375352,3.568626404408688,0.09299951854509339,0.0750302044624224,0.008623322564132063,0.045314736258090654,0.010735217858858493,10.265891181020946,0.2675323301121691,9.889898386095808,0.2577338404576445,0.744275467029893,0.08554058295260566,0.004319372548264636,4.769114614913922e-05,0.006531521321110271,7.211596925725619e-05,ALMOND
ngc1097,59621.8240648029,15699.189297805739,3.7509988174090236,0.07020284469549397,6.419997259420022,0.1367045414248642,0.082948023026613,0.010833018334327302,0.0897426629051752,0.012601508266413076,18.468448579049074,0.3932588585023275,16.36401279061737,0.34844794694103226,0.8228176774895799,0.1074600534263896,0.008521325122450777,5.44825111759835e-05,0.012885486514415352,8.238550377335099e-05,ALMOND
ngc1097,92432.97781685855,32417.919256881538,7.239181759287021,0.07895021630560793,11.928982105901202,0.14965134567373406,0.21328450871806126,0.019814211187027524,0.18384039954967055,0.02160869075232428,34.316181724217046,0.4305030159172588,25.060678310378538,0.3143909680935328,2.1157136445746967,0.1965505944001491,0.013158452401141291,7.284942906921075e-05,0.01989749933596221,0.00011015896264549496,ALMOND
ngc1097,157567.15239497187,85110.59834607672,15.090270598739151,0.19992970253950068,21.458653218141972,0.3577049790290239,0.6495148028820299,0.02986318295861754,0.6102706722880871,0.030291614460789595,61.7302496435494,1.0290122790900005,39.47354514074122,0.6580041856882507,6.442977687738589,0.2962331584029729,0.0413913565417673,0.00011184565175098253,0.06258976847710121,0.00016912693936958818,ALMOND
ngc1097,275106.37909062393,276226.47778965905,32.872397448281845,0.08838314772107954,40.91622130329364,0.1074712854826552,2.264839492891042,0.042614342285214594,1.6494255972685323,0.055343924578299536,117.70396444953258,0.3091633577800045,48.30784183638808,0.12688624940621043,22.46647844553673,0.42272055279263754,0.14697915423623525,0.0002092440545263049,0.2222539197361934,0.00031640753099734423,ALMOND
ngc1097,500360.165764431,708487.3233009316,56.932277800369775,0.18820196858289326,68.14570378339464,0.22539100084121078,3.9250543784783076,0.0775422692362603,3.025820879811363,0.09652944660606079,196.03519680013537,0.6483837828915765,77.8431009635885,0.2574650118888629,38.935275487923846,0.7691943406509018,0.12983234801837434,0.0002959157797570356,0.19632544768395052,0.00044746782157342935,ALMOND
ngc1097,849077.3663424966,853846.9103373368,77.07239528372156,0.566374172678716,87.11307637044064,0.6403195847770206,6.257649527688045,0.07480788104993832,4.781776890231413,0.06123038876312378,250.59876297448756,1.8420115847028857,95.72505481111632,0.7036214297927164,62.07386822545575,0.7420700903706686,0.3092952772305975,0.00020924405452630484,0.4676995733007538,0.0003164075309973441,ALMOND
ngc1385,12082.733832463215,7317.916901333931,0.41618242196736077,0.013383679340079908,0.8641045186121727,0.027599228831788558,0.00784313500513566,0.02829056386613883,-0.01959938517922472,0.027223703490739624,2.7038937577223985,0.08636152334451394,3.2057721267525645,0.10239136192797028,0.08462818752935058,0.3052579284440425,0.0022281527509142216,0.00019262445035196592,0.0030974968295446057,0.0002677794976189029,ALMOND
ngc1385,16579.133089561743,8608.606937779241,0.5660517454962246,0.010343978515984887,1.1298880560408378,0.02088815256436604,0.014510325420208877,0.016306768778770953,-0.03222310390644149,0.018863719913198136,3.5355645015728765,0.06536170580366042,4.046130544693901,0.07480050051069217,0.15656781885932863,0.1759516169623447,0.0027488968956608396,0.00016495372434056907,0.003821416379806473,0.0002293126617808608,ALMOND
