# column 1: name
# column 2: R.A. center [decimal degrees J2000]
# column 3: Dec. center [decimal degrees J2000]
# column 4: distance [Mpc]
# column 5: uncertainty in distance
# column 6: inclination [deg] (LEDA)
# column 7: uncertainty in inclination
# column 8: position angle [deg] (LEDA)
# column 9: uncertainty in position angle
# column 10: radius 25th magnitude isophote [arcmin]
# column 11: uncertainty in radius 25th
ngc0628	24.173855	15.783643	9.84	0.63	8.9	12.2	20.7	1.0	4.943	1.280
ngc1097	41.578957	-30.274675	13.58	2.05	48.6	6.0	122.4	3.6	5.284	1.368
ngc1365	53.401520	-36.140404	19.57	0.78	55.4	6.0	201.1	7.5	6.011	1.556
ngc1385	54.369015	-24.501162	17.22	2.60	44.0	7.6	181.3	4.8	1.702	0.441
ngc1511	59.902460	-67.633930	15.28	2.26	72.7	1.2	297.0	2.1	1.849	0.479
ngc1546	63.651220	-56.060898	17.69	2.02	70.3	0.6	147.8	0.4	1.853	0.480
ngc1566	65.001590	-54.938010	17.69	2.02	29.5	10.6	214.7	4.1	3.614	0.936
ngc1672	71.427040	-59.247257	19.40	2.93	42.6	12.9	134.3	0.4	3.076	0.796
ngc1792	76.309690	-37.980560	16.20	2.44	65.1	1.1	318.9	0.9	2.780	0.720
ngc2566	124.690030	-25.499520	23.44	3.53	48.5	6.0	312.0	2.0	2.128	0.551
ngc2903	143.042110	21.500841	10.00	1.99	66.8	3.1	203.7	2.0	5.970	1.546
ngc2997	146.411640	-31.191090	14.06	2.80	33.0	9.0	108.1	0.7	5.128	1.328
ngc3059	147.534000	-73.922195	20.23	4.04	29.4	11.0	-14.8	2.9	1.897	0.491
ngc3184	154.570590	41.424343	12.58	1.73	16.0	5.0	179.0	10.0	3.698	0.958
ngc3521	166.452400	-0.035949	13.24	1.96	68.8	0.3	343.0	0.6	4.159	1.077
ngc3621	169.567920	-32.812600	7.06	0.28	65.8	1.8	343.8	0.3	4.775	1.236
ngc3627	170.062520	12.991500	11.32	0.48	57.3	1.0	173.1	3.6	5.140	1.331
ngc4254	184.706800	14.416412	13.10	2.01	34.4	1.0	68.1	0.5	2.518	0.652
ngc4303	185.478880	4.473744	16.99	3.02	23.5	9.2	312.4	2.5	3.443	0.892
ngc4321	185.728870	15.822304	15.21	0.50	38.5	2.4	156.2	1.7	3.048	0.789
ngc4535	188.584600	8.197973	15.77	0.37	44.7	10.8	179.7	1.6	4.074	1.055
ngc4536	188.612780	2.188243	16.25	1.12	66.0	2.9	305.6	2.3	3.540	0.917
ngc4569	189.207600	13.162875	15.76	2.38	70.0	6.0	18.0	2.0	4.560	1.181
ngc4826	194.181840	21.683083	4.41	0.19	59.1	0.9	293.6	1.2	5.260	1.362
ngc5055	198.955400	42.029278	9.02	0.34	59.0	5.0	102.0	10.0	5.915	1.532
ngc5194	202.469540	47.195152	8.56	0.28	21.0	5.0	173.0	10.0	6.854	1.775
ngc5248	204.383360	8.885195	14.87	1.32	47.4	16.3	109.2	3.5	2.037	0.527
ngc5643	218.169900	-44.174610	12.68	0.54	29.9	6.0	318.7	2.0	2.624	0.679
ngc6300	259.247800	-62.820550	11.58	1.75	49.6	5.8	105.4	2.3	2.667	0.690
ngc6946	308.719180	60.153515	7.34	0.67	33.0	5.0	243.0	10.0	5.701	1.476
ngc7496	347.447020	-43.427850	18.72	2.82	35.9	6.0	193.7	4.2	1.675	0.434
