Galaxy,R.A.,Dec.,Dist.,Incl.,M_star (log10),SFR (log10),SFR/M_star (log10),Bar,AGN,SFR tracer,HI survey,CO survey,HCN survey,HCN res (as),HCN res (kpc)
ngc0628,24.173855,15.783643,9.84,8.9,10.341248499862493,0.24364335578700536,-10.097605144075487,N,N,W4+FUV,THINGS,PHANGS-ALMA,ALMOND,18.6,0.8873253917139172
ngc1097,41.578957,-30.274675,13.58,48.6,10.759504368141533,0.6760981358481065,-10.083406232293427,Y,Y,W4+FUV,PHANGS-MeerKAT,PHANGS-ALMA,ALMOND,19.4,1.2772513391566946
ngc1365,53.40152,-36.140404,19.57,55.4,10.990189623685167,1.227940795321077,-9.76224882836409,Y,Y,W4+FUV,N,PHANGS-ALMA,ALMOND,20.6,1.9544875702986055
ngc1385,54.369015,-24.501162,17.22,44.0,9.979255423049272,0.3204754562930759,-9.658779966756196,N,N,W4+FUV,PHANGS-VLA,PHANGS-ALMA,ALMOND,19.9,1.6613498261525357
ngc1511,59.90246,-67.63393,15.28,72.7,9.908032580863495,0.3555241774348154,-9.55250840342868,N,N,W4+FUV,PHANGS-MeerKAT,PHANGS-ALMA,ALMOND,17.6,1.303799736334253
ngc1546,63.65122,-56.060898,17.69,70.3,10.350130742991166,-0.07994239704179983,-10.430073140032965,N,N,W4+FUV,N,PHANGS-ALMA,ALMOND,18.9,1.6209309095584337
ngc1566,65.00159,-54.93801,17.69,29.5,10.784288916055843,0.6568184087177857,-10.127470507338057,Y,Y,W4+FUV,MHONGOOSE,PHANGS-ALMA,ALMOND,19.7,1.6895417417090552
ngc1672,71.42704,-59.247257,19.4,42.6,10.72927407878674,0.8810402234289393,-9.848233855357801,Y,Y,W4+FUV,MHONGOOSE,PHANGS-ALMA,ALMOND,18.2,1.7117801452615495
ngc1792,76.30969,-37.98056,16.2,65.1,10.612382001424487,0.568418465084399,-10.043963536340089,N,N,W4+FUV,N,PHANGS-ALMA,ALMOND,18.7,1.4686945655532282
ngc2566,124.69003,-25.49952,23.44,48.5,10.70936524932039,0.9405795825400448,-9.768785666780346,Y,N,W4,PHANGS-VLA,PHANGS-ALMA,ALMOND,18.5,2.102346046763392
ngc2903,143.04211,21.500841,10.0,66.8,10.63371694232056,0.4879113537961862,-10.145805588524373,Y,N,W4+FUV,THINGS,PHANGS-ALMA,ALMOND,18.3,0.8872090364304508
ngc2997,146.41164,-31.19109,14.06,33.0,10.732842274979642,0.6407488482249656,-10.092093426754678,N,N,W4+FUV,PHANGS-VLA,PHANGS-ALMA,ALMOND,20.4,1.3905619927056152
ngc3059,147.534,-73.922195,20.23,29.4,10.377891862143791,0.37612867255044696,-10.001763189593344,Y,N,W4,PHANGS-MeerKAT,PHANGS-ALMA,ALMOND,16.7,1.6378993883972675
ngc3184,154.57059,41.424343,12.58,16.0,10.356838394344395,0.11297610439981007,-10.243862289944586,Y,Y,W4+FUV,THINGS,EMPIRE,EMPIRE,33.3,2.0309523840832013
ngc3521,166.4524,-0.035949,13.24,68.8,11.022060009177565,0.5708993820274737,-10.451160627150092,N,N,W4,THINGS,PHANGS-ALMA,ALMOND,21.1,1.3543948920948443
ngc3621,169.56792,-32.8126,7.06,65.8,10.056291720652,-0.004070142265158205,-10.060361862917159,N,Y,W4+FUV,THINGS,PHANGS-ALMA,ALMOND,18.9,0.6469062872516982
ngc3627,170.06252,12.9915,11.32,57.3,10.832936061120945,0.5848697096045301,-10.248066351516416,Y,Y,W4+FUV,THINGS,EMPIRE,EMPIRE,33.3,1.8275342597632624
ngc4254,184.7068,14.416412,13.1,34.4,10.42471280040912,0.4867533662017589,-9.937959434207361,N,N,W4+FUV,VLA-HERACLES,EMPIRE,EMPIRE,33.3,2.1149027211041282
ngc4303,185.47888,4.473744,16.99,23.5,10.523553461951877,0.7271070953172456,-9.796446366634632,Y,Y,W4+FUV,PHANGS-VLA,PHANGS-ALMA,ALMOND,20.2,1.663870857294305
ngc4321,185.72887,15.822304,15.21,38.5,10.745120132371053,0.5508740052015456,-10.194246127169507,Y,N,W4+FUV,VLA-HERACLES,PHANGS-ALMA,ALMOND,19.6,1.4453071535765045
ngc4535,188.5846,8.197973,15.77,44.7,10.530957412355423,0.3347082214056294,-10.196249190949793,Y,N,W4+FUV,PHANGS-MeerKAT,PHANGS-ALMA,ALMOND,22.8,1.743176679250203
ngc4536,188.61278,2.188243,16.25,66.0,10.399181478680413,0.5374219684022667,-9.861759510278146,Y,N,W4+FUV,VLA-HERACLES,PHANGS-ALMA,ALMOND,21.5,1.6938177983764413
ngc4569,189.2076,13.162875,15.76,70.0,10.806444338129934,0.12219018038999784,-10.684254157739936,Y,Y,W4+FUV,VIVA,PHANGS-ALMA,ALMOND,19.2,1.467007413942967
ngc4826,194.18184,21.683083,4.41,59.1,10.240600487016842,-0.6902922838708261,-10.930892770887668,N,Y,W4+FUV,THINGS,PHANGS-ALMA,ALMOND,18.7,0.39981129840060103
ngc5055,198.9554,42.029278,9.02,59.0,10.794474425074483,0.31002455760565195,-10.48444986746883,N,N,W4+FUV,THINGS,EMPIRE,EMPIRE,33.3,1.4562154614014688
ngc5194,202.46954,47.195152,8.56,21.0,10.652558978508306,0.6405162586376494,-10.012042719870657,N,Y,W4+FUV,THINGS,PAWS,EMPIRE,33.3,1.38195170172911
ngc5248,204.38336,8.885195,14.87,47.4,10.406312039278324,0.3606972418344536,-10.045614797443871,Y,N,W4+FUV,PHANGS-VLA,PHANGS-ALMA,ALMOND,19.9,1.434626708181661
ngc5643,218.1699,-44.17461,12.68,29.9,10.336195394231652,0.4138946249977276,-9.922300769233924,Y,Y,W4,N,PHANGS-ALMA,ALMOND,18.0,1.106538745764405
ngc6300,259.2478,-62.82055,11.58,49.6,10.4691143936668,0.27672329020441355,-10.192391103462386,Y,Y,W4,N,PHANGS-ALMA,ALMOND,17.7,0.9937032096229714
ngc6946,308.71918,60.153515,7.34,33.0,10.467179607398636,0.7677142991339575,-9.699465308264678,Y,N,W4+FUV,THINGS,EMPIRE,EMPIRE,33.3,1.1849912956415498
ngc7496,347.44702,-43.42785,18.72,35.9,9.996620801198507,0.35407696126500915,-9.642543839933497,Y,Y,W4+FUV,PHANGS-MeerKAT,PHANGS-ALMA,ALMOND,17.9,1.6245524677563217
